Pokemon level	Stardust	Candies	Stardust to this level	Candies to this level	TotalCpMultiplier	TotalCpMultiplier^2	Delta(TCpM^2)	Trainer level	Notes
1	200	1	0	0	0.094000000000000	0.0088360		1	
2	200	1	200	1	0.135137431784996	0.0182621	0.0094261	1	
3	200	1	400	2	0.166397870000000	0.0276883	0.0094261	2	
4	200	1	600	3	0.192650919047850	0.0371144	0.0094261	2	
5	400	1	800	4	0.215732470000000	0.0465405	0.0094261	3	
6	400	1	1200	5	0.236572661315177	0.0559666	0.0094261	3	
7	400	1	1600	6	0.255720050000000	0.0653927	0.0094261	4	
8	400	1	2000	7	0.273530381203710	0.0748189	0.0094261	4	
9	600	1	2400	8	0.290249880000000	0.0842450	0.0094261	5	
10	600	1	3000	9	0.306057377479222	0.0936711	0.0094261	5	
11	600	1	3600	10	0.321087600000000	0.1030972	0.0094261	6	
12	600	1	4200	11	0.335445036247676	0.1125234	0.0094261	6	
13	800	1	4800	12	0.349212680000000	0.1219495	0.0094261	7	
14	800	1	5600	13	0.362457751113460	0.1313756	0.0094261	7	
15	800	1	6400	14	0.375235590000000	0.1408017	0.0094261	8	
16	800	1	7200	15	0.387592406365363	0.1502279	0.0094261	8	
17	1000	1	8000	16	0.399567280000000	0.1596540	0.0094261	9	
18	1000	1	9000	17	0.411193551403768	0.1690801	0.0094261	9	
19	1000	1	10000	18	0.422500010000000	0.1785063	0.0094261	10	
20	1000	1	11000	19	0.432926437169180	0.1874253	0.0089190	10	
21	1300	2	12000	20	0.443107550000000	0.1963443	0.0089190	11	
22	1300	2	13300	22	0.453059959102438	0.2052633	0.0089190	11	
23	1300	2	14600	24	0.462798390000000	0.2141823	0.0089190	12	
24	1300	2	15900	26	0.472336083166946	0.2231014	0.0089190	12	
25	1600	2	17200	28	0.481684950000000	0.2320204	0.0089190	13	
26	1600	2	18800	30	0.490855800344055	0.2409394	0.0089190	13	
27	1600	2	20400	32	0.499858440000000	0.2498585	0.0089190	14	
28	1600	2	22000	34	0.508701765000018	0.2587775	0.0089190	14	
29	1900	2	23600	36	0.517393950000000	0.2676965	0.0089190	15	
30	1900	2	25500	38	0.525942511279990	0.2766155	0.0089190	15	
31	1900	2	27400	40	0.534354330000000	0.2855345	0.0089190	16	
32	1900	2	29300	42	0.542635767034066	0.2944536	0.0089190	16	
33	2200	2	31200	44	0.550792690000000	0.3033726	0.0089190	17	
34	2200	2	33400	46	0.558830576321962	0.3122916	0.0089190	17	
35	2200	2	35600	48	0.566754520000000	0.3212107	0.0089191	18	
36	2200	2	37800	50	0.574569153031496	0.3301297	0.0089190	18	
37	2500	2	40000	52	0.582278910000000	0.3390487	0.0089190	19	
38	2500	2	42500	54	0.589887917070428	0.3479678	0.0089190	19	
39	2500	2	45000	56	0.597400010000000	0.3568868	0.0089190	20	Max egg
40	2500	2	47500	58	0.604818813879744	0.3658058	0.0089190	20	
41	3000	3	50000	60	0.612157290000000	0.3747365	0.0089308	21	
42	3000	3	53000	63	0.619404111709588	0.3836615	0.0089249	21	
43	3000	3	56000	66	0.626567130000000	0.3925864	0.0089249	22	
44	3000	3	59000	69	0.633649172885941	0.4015113	0.0089249	22	
45	3500	3	62000	72	0.640652950000000	0.4104362	0.0089249	23	
46	3500	3	65500	75	0.647580966556540	0.4193611	0.0089249	23	
47	3500	3	69000	78	0.654435630000000	0.4282860	0.0089249	24	
48	3500	3	72500	81	0.661219252378587	0.4372109	0.0089249	24	
49	4000	3	76000	84	0.667934000000000	0.4461358	0.0089249	25	
50	4000	3	80000	87	0.674581895887075	0.4550607	0.0089249	25	
51	4000	4	84000	90	0.681164920000000	0.4639856	0.0089249	26	
52	4000	4	88000	94	0.687684923595978	0.4729106	0.0089249	26	
53	4500	4	92000	98	0.694143650000000	0.4818354	0.0089249	27	
54	4500	4	96500	102	0.700542870021473	0.4907603	0.0089249	27	
55	4500	4	101000	106	0.706884210000000	0.4996853	0.0089250	28	
56	4500	4	105500	110	0.713169118968232	0.5086102	0.0089249	28	
57	5000	4	110000	114	0.719399090000000	0.5175351	0.0089249	29	
58	5000	4	115000	118	0.725575603638538	0.5264600	0.0089249	29	
59	5000	4	120000	122	0.731700000000000	0.5353849	0.0089249	30	Max encounter
60	5000	4	125000	126	0.734741042817128	0.5398444	0.0044595	30	TCPM^2/level halved
61	6000	6	130000	130	0.737769480000000	0.5443038	0.0044594	31	
62	6000	6	136000	136	0.740785573840211	0.5487633	0.0044595	31	
63	6000	6	142000	142	0.743789430000000	0.5532227	0.0044594	32	
64	6000	6	148000	148	0.746781210911218	0.5576822	0.0044595	32	
65	7000	8	154000	154	0.749761040000000	0.5621416	0.0044594	33	
66	7000	8	161000	162	0.752729086652151	0.5666011	0.0044595	33	
67	7000	8	168000	170	0.755685510000000	0.5710606	0.0044595	34	
68	7000	8	175000	178	0.758630378256935	0.5755201	0.0044595	34	
69	8000	10	182000	186	0.761563840000000	0.5799795	0.0044594	35	
70	8000	10	190000	196	0.764486064742743	0.5844389	0.0044595	35	
71	8000	10	198000	206	0.767397170000000	0.5888984	0.0044595	36	
